district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Lafayette Twp,NJ-372490,23296,15012,2615
Lenape Valley Regional,NJ-372615,22583,11195,2624
Montague Twp,NJ-373300,27029,13140,2974
Newton Town,NJ-373590,20635,11635,2596
Ogdensburg Boro,NJ-373840,21549,12609,2094
Sandyston-Walpack Twp,NJ-374650,24869,12877,2624
Sparta Twp,NJ-374960,20233,12053,1924
Stanhope Boro,NJ-375030,21501,11427,2507
Stillwater Twp,NJ-375040,23292,13862,2737
Sussex-Wantage Regional,NJ-375100,22033,13294,2289
Sussex County Vocational,NJ-375110,19342,9557,2969
Vernon Twp,NJ-375360,19146,10493,1929
Wallkill Valley Regional,NJ-375435,20200,10521,2226
Berkeley Heights Twp,NJ-390310,25123,14779,2627
Clark Twp,NJ-390850,16565,9581,1684
Cranford Twp,NJ-390980,18122,10681,1971
Elizabeth City,NJ-391320,21857,12742,1858
Garwood Boro,NJ-391710,17342,9840,2195
Hillside Twp,NJ-392190,21377,11701,2550
Kenilworth Boro,NJ-392420,20207,12696,1638
Linden City,NJ-392660,22056,13104,2195
Mountainside Boro,NJ-393470,16382,10082,1633
New Providence Boro,NJ-393560,18978,11596,2336
Plainfield City,NJ-394160,23744,14250,2119
Rahway City,NJ-394290,18574,10639,2160
Roselle Boro,NJ-394540,19820,11490,1836
Roselle Park Boro,NJ-394550,20981,11959,1952
Scotch Plains-Fanwood Reg,NJ-394670,17119,10147,1523
Springfield Twp,NJ-395000,18863,10679,1757
Summit City,NJ-395090,19112,12174,1941
Union County Vocational,NJ-395260,19278,10984,2427
Union Twp,NJ-395290,16904,9670,1848
Westfield Town,NJ-395730,18705,11287,1975
Winfield Twp,NJ-395810,22159,12130,2169
Allamuchy Twp,NJ-410030,17318,9931,2184
Alpha Boro,NJ-410070,20774,12544,1996
Belvidere Town,NJ-410280,20244,11421,2779
