district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Green Brook Twp,NJ-351810,19278,10967,2116
Hillsborough Twp,NJ-352170,16035,9629,1396
Manville Boro,NJ-353000,16099,8559,1812
Montgomery Twp,NJ-353320,18281,10816,1894
North Plainfield Boro,NJ-353670,17369,10466,1594
Somerset Co Vocational,NJ-354810,31450,15085,6473
Somerset Hills Regional,NJ-354815,20650,11294,2321
Somerville Boro,NJ-354820,19377,11411,2282
South Bound Brook,NJ-354850,17488,10063,2109
Warren Twp,NJ-355470,25578,15255,2145
Watchung Boro,NJ-355540,18924,11617,2054
Watchung Hills Regional,NJ-355550,21425,11525,2384
Andover Reg,NJ-370090,23269,11793,2365
Byram Twp,NJ-370640,16175,9542,1861
Frankford Twp,NJ-371560,20377,14155,1938
Franklin Boro,NJ-371570,20368,11923,1796
Fredon Twp,NJ-371630,21434,10629,2791
Green Twp,NJ-371800,21675,13935,2201
Hamburg Boro,NJ-371930,25546,15132,2155
Hampton Twp,NJ-371980,19521,11679,2235
Hardyston Twp,NJ-372030,18806,10345,2186
High Point Regional,NJ-372165,22407,11889,2083
Hopatcong,NJ-372240,20205,11464,1864
Kittatinny Regional,NJ-372465,22838,13730,2249
Lafayette Twp,NJ-372490,20170,13066,2206
Lenape Valley Regional,NJ-372615,21846,10813,2450
Montague Twp,NJ-373300,22413,11942,3633
Newton Town,NJ-373590,18268,10519,2220
Ogdensburg Boro,NJ-373840,17516,10002,1545
Sandyston-Walpack Twp,NJ-374650,22290,12821,2510
Sparta Twp,NJ-374960,18970,11369,1833
Stanhope Boro,NJ-375030,18210,10293,2234
Stillwater Twp,NJ-375040,20379,12439,2330
Sussex-Wantage Regional,NJ-375100,19756,12296,2042
Sussex County Vocational,NJ-375110,19980,9678,3062
Vernon Twp,NJ-375360,19552,10390,1897
Wallkill Valley Regional,NJ-375435,20026,10991,2422
Berkeley Heights Twp,NJ-390310,19993,11946,2078
Clark Twp,NJ-390850,15164,8785,1681
Cranford Twp,NJ-390980,17323,10192,1838
Elizabeth City,NJ-391320,18426,10595,1678
Garwood Boro,NJ-391710,16007,8780,2060
Hillside Twp,NJ-392190,18626,10228,2283
Kenilworth Boro,NJ-392420,18714,11861,1619
Linden City,NJ-392660,18704,11811,1804
Mountainside Boro,NJ-393470,16162,10252,1508
New Providence Boro,NJ-393560,16835,10190,2059
Plainfield City,NJ-394160,17667,10425,1583
Rahway City,NJ-394290,16140,9637,1876
Roselle Boro,NJ-394540,18347,11025,1812
Roselle Park Boro,NJ-394550,17383,10143,1722
Scotch Plains-Fanwood Reg,NJ-394670,15959,9753,1413
Springfield Twp,NJ-395000,16625,9411,1507
Summit City,NJ-395090,17640,11305,1872
Union County Vocational,NJ-395260,13563,8049,1762
Union Twp,NJ-395290,15985,9509,1682
Westfield Town,NJ-395730,17063,10265,1817
Winfield Twp,NJ-395810,25625,13893,2400
Allamuchy Twp,NJ-410030,17356,9594,2249
Alpha Boro,NJ-410070,19251,12723,2022
Belvidere Town,NJ-410280,19460,11684,2259
